config,rate_bits,arity_bits,pow_bits,queries,threads,rep,wall_s,cpu_user_s,cpu_sys_s,hash_cpu_s,hash_calls,hash_bytes,leaf_calls,leaf_ns,leaf_bytes,node_calls,node_ns,node_bytes,perm_calls,perm_ns,perm_bytes,phase_traces_s,phase_trace_commit_s,phase_trace_commit_hash_ns,phase_ctl_s,phase_proofs_s,phase_proofs_hash_ns,proof_bytes,hash_share_cpu
2:4:24,2,4,24,38,1,3,63.078,62.57,0.74,49.662,72607502,7638904640,5685600,3278899540,1396580352,5693072,1063671670,364356608,61228830,45318940205,5877967680,0.2690,4.4074,1997477290,0.6087,56.9633,47664032833,1990188,0.7844
2:4:24,2,4,24,38,14,1,24.670,283.61,2.36,283.176,287075086,28227792704,5685600,4457115749,1396580352,5693072,1388150567,364356608,275696414,277331076232,26466855744,0.1675,0.5301,2866808148,0.6142,22.5297,280309533358,1990188,0.9902
2:4:24,2,4,24,38,14,2,11.397,112.44,1.71,102.899,104581902,10708447040,5685600,4396559209,1396580352,5693072,1396449447,364356608,93203230,97106436744,8947510080,0.1719,0.5300,2809208136,0.6034,9.2468,100090236097,1990188,0.9014
2:4:24,2,4,24,38,14,3,19.258,214.26,2.31,209.979,205089550,20357181248,5685600,4396823103,1396580352,5693072,1383445763,364356608,193710878,204198493822,18596244288,0.1717,0.5388,2799142175,0.6086,17.1087,207179615971,1990188,0.9696
3:4:24,3,4,24,26,1,1,86.642,85.92,1.19,68.593,104385286,11358133312,11371200,6623269754,2793160704,11386864,2124235494,728759296,81627222,59845825337,7836213312,0.2743,8.6052,4003844309,0.6097,76.3227,64589485151,1439212,0.7874
3:4:24,3,4,24,26,1,2,86.478,85.77,1.18,68.600,104385286,11358133312,11371200,6634557351,2793160704,11386864,2117904883,728759296,81627222,59847418019,7836213312,0.2642,8.5680,4011612798,0.6080,76.2004,64588266247,1439212,0.7890
3:4:24,3,4,24,26,1,3,86.966,86.18,1.20,68.991,104385286,11358133312,11371200,6575383701,2793160704,11386864,2119915321,728759296,81627222,60295957205,7836213312,0.2650,8.5688,4005290940,0.6034,76.7023,64985964204,1439212,0.7896
3:4:24,3,4,24,26,14,1,11.340,110.10,2.42,92.096,109079814,11808808000,11371200,8653944993,2793160704,11386864,2763298894,728759296,86321750,80678390002,8286888000,0.1596,0.9523,5435114459,0.6049,8.8476,86660518305,1439212,0.8185
3:4:24,3,4,24,26,14,2,13.314,132.67,2.68,117.972,130026758,13819714624,11371200,8805555046,2793160704,11386864,2812468591,728759296,107268694,106353566346,10297794624,0.1623,1.0149,5458707945,0.6070,10.7382,112512880955,1439212,0.8716
3:4:24,3,4,24,26,14,3,14.482,146.38,2.32,132.491,142966534,15061933120,11371200,8695859338,2793160704,11386864,2714782825,728759296,120208470,121080742994,11540013120,0.1637,0.9471,5421597494,0.6132,11.9632,127069786580,1439212,0.8910
4:4:24,4,4,24,19,1,1,148.888,146.42,2.84,120.712,186397950,20568471872,22742400,13109117358,5586321408,22774448,4139779143,1457564672,140881102,103463019002,13524585792,0.2502,16.8083,8018945540,0.6111,130.4295,112692968880,1114326,0.8087
4:4:24,4,4,24,19,1,2,147.185,145.99,2.00,120.380,186397950,20568471872,22742400,12831327401,5586321408,22774448,4083671919,1457564672,140881102,103465059105,13524585792,0.2230,15.9075,7750015298,0.5856,129.7046,112630042169,1114326,0.8134
4:4:24,4,4,24,19,1,3,147.181,145.12,2.58,119.555,186397950,20568471872,22742400,13079168605,5586321408,22774448,4127572335,1457564672,140881102,102348681220,13524585792,0.2240,15.9969,7770989476,0.5926,129.6109,111784431518,1114326,0.8094
4:4:24,4,4,24,19,14,1,17.592,156.91,6.34,133.939,159857406,18020579648,22742400,18643167564,5586321408,22774448,5723177077,1457564672,114340558,109572773992,10976693568,0.1506,2.0089,11267759047,0.6180,14.0393,122671355211,1114326,0.8205
4:4:24,4,4,24,19,14,2,18.905,177.51,6.14,153.820,178409726,19801602368,22742400,18445724062,5586321408,22774448,5713811860,1457564672,132892878,129660360007,12757716288,0.1564,1.9088,11072605596,0.6018,15.4493,142747289292,1114326,0.8376
4:4:24,4,4,24,19,14,3,17.214,166.59,5.20,139.580,164302590,18447317312,22742400,17569769568,5586321408,22774448,5462713284,1457564672,118785742,116547526346,11403431232,0.1586,1.8615,10829502431,0.6131,13.8058,128750505683,1114326,0.8125
