l,d,k,dsize,T,t_single_s,t_skip_s,t_tail_s,t_batch_s,marginal_s,shareable_frac,t_verify_s,all_verified
20,2,2,7,8,0.02021,0.00860,0.01164,0.10135,0.01171,0.4206,0.00597,true
20,2,2,7,16,0.02021,0.00860,0.01164,0.19427,0.01166,0.4230,0.00597,true
20,2,3,15,1,0.02011,0.01305,0.00713,0.02019,0.00713,0.6454,0.00434,true
20,2,3,15,2,0.02011,0.01305,0.00713,0.02735,0.00716,0.6441,0.00434,true
20,2,3,15,4,0.02011,0.01305,0.00713,0.04198,0.00726,0.6388,0.00434,true
20,2,3,15,8,0.02011,0.01305,0.00713,0.07073,0.00722,0.6410,0.00434,true
20,2,3,15,16,0.02011,0.01305,0.00713,0.12899,0.00725,0.6393,0.00434,true
20,2,4,31,1,0.02986,0.02576,0.00455,0.03029,0.00455,0.8477,0.00351,true
20,2,4,31,2,0.02986,0.02576,0.00455,0.03488,0.00459,0.8464,0.00351,true
20,2,4,31,4,0.02986,0.02576,0.00455,0.04413,0.00461,0.8455,0.00351,true
20,2,4,31,8,0.02986,0.02576,0.00455,0.06231,0.00457,0.8468,0.00351,true
20,2,4,31,16,0.02986,0.02576,0.00455,0.09957,0.00462,0.8453,0.00351,true
20,2,5,63,1,0.05134,0.04741,0.00346,0.05089,0.00346,0.9327,0.00302,true
20,2,5,63,2,0.05134,0.04741,0.00346,0.05433,0.00344,0.9331,0.00302,true
20,2,5,63,4,0.05134,0.04741,0.00346,0.06105,0.00339,0.9340,0.00302,true
20,2,5,63,8,0.05134,0.04741,0.00346,0.07469,0.00340,0.9338,0.00302,true
20,2,5,63,16,0.05134,0.04741,0.00346,0.10219,0.00342,0.9334,0.00302,true
20,3,1,4,1,0.05645,0.01259,0.04315,0.05504,0.04315,0.2355,0.01283,true
20,3,1,4,2,0.05645,0.01259,0.04315,0.09491,0.03987,0.2937,0.01283,true
20,3,1,4,4,0.05645,0.01259,0.04315,0.17684,0.04060,0.2808,0.01283,true
20,3,1,4,8,0.05645,0.01259,0.04315,0.33843,0.04048,0.2828,0.01283,true
20,3,1,4,16,0.05645,0.01259,0.04315,0.66044,0.04036,0.2850,0.01283,true
